# x	y	u	v	mask
  0.2176	  3.5226	 -0.0622	 -2.7081	  0.0000
  0.4869	  3.5226	 -0.3159	 -2.9800	  0.0000
  0.7563	  3.5226	 -0.2192	 -3.1759	  0.0000
  1.0257	  3.5226	 -0.0993	 -3.1628	  0.0000
  1.2951	  3.5226	 -0.1298	 -3.1123	  0.0000
  1.5644	  3.5226	  0.1335	 -2.9734	  0.0000
  1.8338	  3.5226	  0.2285	 -3.0094	  0.0000
  2.1032	  3.5226	  0.3577	 -3.0725	  0.0000
  2.3726	  3.5226	  0.5582	 -3.0472	  0.0000
  2.6419	  3.5226	 -0.0536	 -2.5293	  0.0000
  2.9113	  3.5226	 -0.0180	 -3.0461	  0.0000
  3.1807	  3.5226	 -0.0382	 -3.1567	  0.0000
  3.4501	  3.5226	 -0.1704	 -2.8259	  1.0000
  3.7194	  3.5226	 -0.1771	 -2.9562	  0.0000
  3.9888	  3.5226	 -0.0111	 -2.9971	  0.0000
  4.2582	  3.5226	 -0.1759	 -2.9432	  0.0000
  4.5276	  3.5226	 -0.0718	 -2.6691	  0.0000
  4.7969	  3.5226	  0.0634	 -3.1262	  0.0000
  5.0663	  3.5226	 -0.7986	 -2.5729	  0.0000
  0.2176	  3.2532	 -0.2324	 -2.7492	  0.0000
  0.4869	  3.2532	 -0.0544	 -2.9180	  1.0000
  0.7563	  3.2532	 -0.0473	 -3.2017	  0.0000
  1.0257	  3.2532	  0.0445	 -3.1671	  0.0000
  1.2951	  3.2532	  0.2360	 -3.0996	  0.0000
  1.5644	  3.2532	  0.1602	 -2.9705	  0.0000
  1.8338	  3.2532	  0.2544	 -3.0537	  0.0000
  2.1032	  3.2532	  0.2612	 -3.2759	  0.0000
  2.3726	  3.2532	  0.0167	 -2.9278	  0.0000
  2.6419	  3.2532	 -0.1467	 -2.4940	  0.0000
  2.9113	  3.2532	 -0.3346	 -2.5633	  0.0000
  3.1807	  3.2532	 -0.1071	 -2.7191	  0.0000
  3.4501	  3.2532	  0.0180	 -2.8561	  0.0000
  3.7194	  3.2532	  0.0250	 -3.1408	  0.0000
  3.9888	  3.2532	 -0.1315	 -2.9732	  0.0000
  4.2582	  3.2532	 -0.1761	 -2.8354	  0.0000
  4.5276	  3.2532	 -0.1840	 -2.6965	  0.0000
  4.7969	  3.2532	 -0.1973	 -2.8936	  1.0000
  5.0663	  3.2532	 -0.1923	 -3.5400	  0.0000
  0.2176	  2.9838	 -0.2356	 -2.6137	  0.0000
  0.4869	  2.9838	 -0.5269	 -3.0298	  0.0000
  0.7563	  2.9838	 -0.5800	 -3.1743	  0.0000
  1.0257	  2.9838	 -0.0218	 -3.0804	  0.0000
  1.2951	  2.9838	  0.0910	 -3.0397	  0.0000
  1.5644	  2.9838	  0.4513	 -2.7045	  0.0000
  1.8338	  2.9838	  0.2904	 -2.5906	  0.0000
  2.1032	  2.9838	 -0.3519	 -3.0738	  0.0000
  2.3726	  2.9838	 -0.1325	 -2.7732	  0.0000
  2.6419	  2.9838	 -0.2101	 -2.5898	  0.0000
  2.9113	  2.9838	 -0.3088	 -2.5700	  0.0000
  3.1807	  2.9838	 -0.2654	 -2.6647	  0.0000
  3.4501	  2.9838	 -0.1588	 -2.7595	  0.0000
  3.7194	  2.9838	 -0.0625	 -2.9978	  0.0000
  3.9888	  2.9838	 -0.1193	 -3.1136	  0.0000
